rank,path,modified_time_iso,useful_score,csv_count,notes
1,C:\Users\UBESC\Desktop\Combined MMwave and RGB\logs\session_20260703_205540,2026-07-04 01:05:03,40,8,useful files found
2,C:\Users\UBESC\Desktop\Combined MMwave and RGB\mmwave_pose_ui_4ec2b00\logs\external_camera_confirmed_retention_test,2026-07-04 01:05:03,7,1,useful files found
3,C:\Users\UBESC\Desktop\Combined MMwave and RGB\logs\session_20260703_205014,2026-07-04 00:54:08,40,8,useful files found
4,C:\Users\UBESC\Desktop\Combined MMwave and RGB\logs\session_20260703_203646,2026-07-04 00:38:37,40,8,useful files found
5,C:\Users\UBESC\Desktop\Combined MMwave and RGB\mmwave_pose_ui_4ec2b00\logs\external_usb_camera_dshow_test,2026-07-04 00:38:37,7,1,useful files found
6,C:\Users\UBESC\Desktop\Combined MMwave and RGB\logs\session_20260703_203500,2026-07-04 00:35:51,40,8,useful files found
7,C:\Users\UBESC\Desktop\Combined MMwave and RGB\logs\session_20260703_203421,2026-07-04 00:34:37,40,8,useful files found
8,C:\Users\UBESC\Desktop\Combined MMwave and RGB\logs\session_20260703_202838,2026-07-04 00:30:09,40,8,useful files found
9,C:\Users\UBESC\Desktop\Combined MMwave and RGB\mmwave_pose_ui_4ec2b00\logs\external_usb_camera_multiperson_validation_test,2026-07-04 00:30:08,7,1,useful files found
10,C:\Users\UBESC\Desktop\Combined MMwave and RGB\logs\session_20260703_202712,2026-07-04 00:28:09,40,8,useful files found
11,C:\Users\UBESC\Desktop\Combined MMwave and RGB\logs\session_20260703_201707,2026-07-04 00:17:43,40,8,useful files found
12,C:\Users\UBESC\Desktop\Combined MMwave and RGB\mmwave_pose_ui_4ec2b00\logs\multiperson_track_validation_test,2026-07-04 00:17:12,7,1,useful files found
13,C:\Users\UBESC\Desktop\Combined MMwave and RGB\logs\session_20260703_195750,2026-07-04 00:00:02,40,8,useful files found
14,C:\Users\UBESC\Desktop\Combined MMwave and RGB\logs\session_20260703_193503,2026-07-03 23:35:29,40,8,useful files found
15,C:\Users\UBESC\Desktop\Combined MMwave and RGB\mmwave_pose_ui_4ec2b00\logs\human_ui_stale_cleanup_test,2026-07-03 23:35:29,7,1,useful files found
16,C:\Users\UBESC\Desktop\Combined MMwave and RGB\logs\session_20260703_192751,2026-07-03 23:30:20,40,8,useful files found
17,C:\Users\UBESC\Desktop\Combined MMwave and RGB\logs\session_20260703_192719,2026-07-03 23:27:29,40,8,useful files found
18,C:\Users\UBESC\Desktop\Combined MMwave and RGB\logs\session_20260703_191246,2026-07-03 23:14:00,40,8,useful files found
19,C:\Users\UBESC\Desktop\Combined MMwave and RGB\mmwave_pose_ui_4ec2b00\logs\stand_to_sit_gate_video_test,2026-07-03 23:14:00,7,1,useful files found
20,C:\Users\UBESC\Desktop\Combined MMwave and RGB\logs\session_20260703_160941,2026-07-03 22:48:05,40,8,useful files found
21,C:\Users\UBESC\Desktop\Combined MMwave and RGB\logs\session_20260703_160903,2026-07-03 20:09:21,40,8,useful files found
22,C:\Users\UBESC\Desktop\Combined MMwave and RGB\logs\session_20260703_132741,2026-07-03 20:08:58,40,8,useful files found
23,C:\Users\UBESC\Desktop\Combined MMwave and RGB\logs\session_20260703_112658,2026-07-03 17:27:10,40,8,useful files found
24,C:\Users\UBESC\Desktop\Combined MMwave and RGB\logs\session_20260703_092716,2026-07-03 15:26:35,40,8,useful files found
25,C:\Users\UBESC\Desktop\Combined MMwave and RGB\logs\session_20260702_160804,2026-07-03 13:26:53,40,8,useful files found
26,C:\Users\UBESC\Desktop\Combined MMwave and RGB\logs\session_20260702_101401,2026-07-02 20:07:19,40,8,useful files found
27,C:\Users\UBESC\Desktop\Combined MMwave and RGB\logs\session_20260702_100622,2026-07-02 14:13:40,40,8,useful files found
28,C:\Users\UBESC\Desktop\Combined MMwave and RGB\logs\session_20260702_100032,2026-07-02 14:03:43,40,8,useful files found
29,C:\Users\UBESC\Desktop\Combined MMwave and RGB\logs\session_20260701_201610,2026-07-02 13:56:57,40,8,useful files found
30,C:\Users\UBESC\Desktop\Combined MMwave and RGB\logs\session_20260701_201528,2026-07-02 00:15:58,40,8,useful files found
31,C:\Users\UBESC\Desktop\Combined MMwave and RGB\logs\session_20260701_201402,2026-07-02 00:15:12,40,8,useful files found
