model,validation,feature,importance
LogisticRegression,older_sessions_to_live_session,z_mean,18.765880677966152
LogisticRegression,older_sessions_to_live_session,relative_gate_passed_rate_if_available,5.6237537937925515
LogisticRegression,older_sessions_to_live_session,lie_prob_mean_if_available,3.0811044779348924
LogisticRegression,older_sessions_to_live_session,range_m_mean,3.0277879911234553
LogisticRegression,older_sessions_to_live_session,range_error_m_mean,1.322587090611155
LogisticRegression,older_sessions_to_live_session,range_m_std,1.078688066067053
LogisticRegression,older_sessions_to_live_session,z_std,1.0302081712130051
LogisticRegression,older_sessions_to_live_session,speed_mean,0.9869200337902617
LogisticRegression,older_sessions_to_live_session,display_moving_rate,0.9531958879428446
LogisticRegression,older_sessions_to_live_session,stand_prob_mean,0.9241114033169485
LogisticRegression,older_sessions_to_live_session,fall_prob_mean_if_available,0.9066608041225025
LogisticRegression,older_sessions_to_live_session,display_unknown_rate,0.7734250552057701
LogisticRegression,older_sessions_to_live_session,display_standing_rate,0.7721352248905844
LogisticRegression,older_sessions_to_live_session,LOW_POINTS_rate,0.7638197614301346
LogisticRegression,older_sessions_to_live_session,sit_prob_std,0.7169135452047438
LogisticRegression,older_sessions_to_live_session,stand_prob_std,0.45299526869053275
LogisticRegression,older_sessions_to_live_session,geom_pts_mean,0.4072655025706576
LogisticRegression,older_sessions_to_live_session,sit_minus_stand_mean,0.3685231293597214
LogisticRegression,older_sessions_to_live_session,geom_pts_ge_3_rate,0.3119304448523984
RandomForestClassifier,older_sessions_to_live_session,z_mean,0.27460924532294956
LogisticRegression,older_sessions_to_live_session,geom_pts_ge_1_rate,0.2581332649576065
LogisticRegression,older_sessions_to_live_session,NO_POINTS_rate,0.25813326495760586
LogisticRegression,older_sessions_to_live_session,sit_prob_mean,0.23098767748030202
LogisticRegression,older_sessions_to_live_session,distance_m,0.21821531591934432
RandomForestClassifier,older_sessions_to_live_session,lie_prob_mean_if_available,0.20054900268608278
LogisticRegression,older_sessions_to_live_session,OK_rate,0.19436453623769848
RandomForestClassifier,older_sessions_to_live_session,range_error_m_mean,0.14756269988291604
LogisticRegression,older_sessions_to_live_session,pose_switch_count,0.11260730683078878
RandomForestClassifier,older_sessions_to_live_session,stand_prob_mean,0.09330488702590826
LogisticRegression,older_sessions_to_live_session,tracking_presence_rate,0.0926393145056813
LogisticRegression,older_sessions_to_live_session,display_sitting_rate,0.08370425618668068
RandomForestClassifier,older_sessions_to_live_session,sit_minus_stand_mean,0.061444175270103235
RandomForestClassifier,older_sessions_to_live_session,fall_prob_mean_if_available,0.05737301847838014
RandomForestClassifier,older_sessions_to_live_session,range_m_mean,0.04610528479672711
LogisticRegression,older_sessions_to_live_session,pose_presence_rate,0.044644299109900656
LogisticRegression,older_sessions_to_live_session,speed_std,0.040126488281693025
RandomForestClassifier,older_sessions_to_live_session,sit_prob_mean,0.03348498961733463
RandomForestClassifier,older_sessions_to_live_session,display_standing_rate,0.02978388355694334
LogisticRegression,older_sessions_to_live_session,sit_minus_stand_std,0.02278823483472846
LogisticRegression,older_sessions_to_live_session,geom_pts_std,0.02154286878846185
RandomForestClassifier,older_sessions_to_live_session,relative_gate_passed_rate_if_available,0.013226246146552474
RandomForestClassifier,older_sessions_to_live_session,display_sitting_rate,0.01263164353953131
RandomForestClassifier,older_sessions_to_live_session,speed_mean,0.009078223879619476
RandomForestClassifier,older_sessions_to_live_session,display_unknown_rate,0.00454591951286907
RandomForestClassifier,older_sessions_to_live_session,geom_pts_ge_1_rate,0.0033313734608281438
RandomForestClassifier,older_sessions_to_live_session,NO_POINTS_rate,0.0023469005922000298
RandomForestClassifier,older_sessions_to_live_session,geom_pts_mean,0.0022277913497374055
RandomForestClassifier,older_sessions_to_live_session,LOW_POINTS_rate,0.00219488032763364
RandomForestClassifier,older_sessions_to_live_session,geom_pts_ge_3_rate,0.001221400974098726
RandomForestClassifier,older_sessions_to_live_session,sit_minus_stand_std,0.0010102463746800953
RandomForestClassifier,older_sessions_to_live_session,stand_prob_std,0.0007023245696662118
RandomForestClassifier,older_sessions_to_live_session,z_std,0.0005361464542321165
RandomForestClassifier,older_sessions_to_live_session,range_m_std,0.0004973989414261068
RandomForestClassifier,older_sessions_to_live_session,OK_rate,0.0004963684507067176
RandomForestClassifier,older_sessions_to_live_session,sit_prob_std,0.0004573687099592257
RandomForestClassifier,older_sessions_to_live_session,speed_std,0.00038675105282675
RandomForestClassifier,older_sessions_to_live_session,display_moving_rate,0.00030398498587033565
RandomForestClassifier,older_sessions_to_live_session,geom_pts_std,0.0002791843113862606
RandomForestClassifier,older_sessions_to_live_session,pose_switch_count,0.00017553123995209756
RandomForestClassifier,older_sessions_to_live_session,distance_m,5.048908072921362e-05
RandomForestClassifier,older_sessions_to_live_session,pose_presence_rate,4.44404470717632e-05
RandomForestClassifier,older_sessions_to_live_session,tracking_presence_rate,3.819896107791507e-05
