segment_id,field,value,count
leanback_1m,quality,NO_POINTS,527
leanback_1m,quality,LOW_POINTS,509
leanback_1m,quality,LOW_CONF,212
leanback_1m,quality,OK,51
leanback_1m,quality,WARMUP,13
leanback_1m,geom_quality,NA,1312
leanback_1m,assoc,NA,1312
leanback_1m,range_zone,1m,1214
leanback_1m,range_zone,2m,98
leanback_1m,moving_override_reason,NA,1312
leanback_1m,final_reason,NA,1312
leanback_1m,stand_sit_decision,NA,1312
leanback_1m,status,NO_POINTS,527
leanback_1m,status,LOW_POINTS,509
leanback_1m,status,LOW_CONF,212
leanback_1m,status,OK,51
leanback_1m,status,WARMUP,13
leanback_2m,quality,NO_POINTS,1364
leanback_2m,quality,LOW_POINTS,431
leanback_2m,quality,LOW_CONF,171
leanback_2m,quality,OK,102
leanback_2m,geom_quality,NA,2068
leanback_2m,assoc,NA,2068
leanback_2m,range_zone,2m,1994
leanback_2m,range_zone,1m,74
leanback_2m,moving_override_reason,NA,2068
leanback_2m,final_reason,NA,2068
leanback_2m,stand_sit_decision,NA,2068
leanback_2m,status,NO_POINTS,1364
leanback_2m,status,LOW_POINTS,431
leanback_2m,status,LOW_CONF,171
leanback_2m,status,OK,102
leanback_3m,quality,NO_POINTS,1849
leanback_3m,quality,LOW_POINTS,327
leanback_3m,quality,LOW_CONF,107
leanback_3m,quality,OK,63
leanback_3m,geom_quality,NA,2346
leanback_3m,assoc,NA,2346
leanback_3m,range_zone,3m,2260
leanback_3m,range_zone,2m,85
leanback_3m,range_zone,1m,1
leanback_3m,moving_override_reason,NA,2346
leanback_3m,final_reason,NA,2346
leanback_3m,stand_sit_decision,NA,2346
leanback_3m,status,NO_POINTS,1849
leanback_3m,status,LOW_POINTS,327
leanback_3m,status,LOW_CONF,107
leanback_3m,status,OK,63
leanback_4m,quality,NO_POINTS,959
leanback_4m,quality,LOW_POINTS,245
leanback_4m,quality,LOW_CONF,128
leanback_4m,quality,OK,68
leanback_4m,geom_quality,NA,1400
leanback_4m,assoc,NA,1400
leanback_4m,range_zone,4m,1309
leanback_4m,range_zone,3m,91
leanback_4m,moving_override_reason,NA,1400
leanback_4m,final_reason,NA,1400
leanback_4m,stand_sit_decision,NA,1400
leanback_4m,status,NO_POINTS,959
leanback_4m,status,LOW_POINTS,245
leanback_4m,status,LOW_CONF,128
leanback_4m,status,OK,68
