segment_id,expected_pose,bucket,frames,accuracy
leanback_1m,SITTING,quality_OK,51,0.0
leanback_1m,SITTING,LOW_POINTS,509,0.0275049115913556
leanback_1m,SITTING,NO_POINTS,527,0.04554079696394687
leanback_1m,SITTING,geom_pts_0,529,0.045368620037807186
leanback_1m,SITTING,geom_pts_ge_3,501,0.007984031936127744
leanback_2m,SITTING,quality_OK,102,0.058823529411764705
leanback_2m,SITTING,LOW_POINTS,431,0.06496519721577726
leanback_2m,SITTING,NO_POINTS,1364,0.02785923753665689
leanback_2m,SITTING,geom_pts_0,1364,0.02785923753665689
leanback_2m,SITTING,geom_pts_ge_3,400,0.0425
leanback_3m,SITTING,quality_OK,63,0.015873015873015872
leanback_3m,SITTING,LOW_POINTS,327,0.0030581039755351682
leanback_3m,SITTING,NO_POINTS,1849,0.0005408328826392645
leanback_3m,SITTING,geom_pts_0,1849,0.0005408328826392645
leanback_3m,SITTING,geom_pts_ge_3,248,0.020161290322580645
leanback_4m,SITTING,quality_OK,68,0.0
leanback_4m,SITTING,LOW_POINTS,245,0.0
leanback_4m,SITTING,NO_POINTS,959,0.0
leanback_4m,SITTING,geom_pts_0,959,0.0
leanback_4m,SITTING,geom_pts_ge_3,291,0.0
