segment_id,timestamp_s,from,to,event
sitting_2m,107.781,SITTING,STANDING,pose_switch
sitting_2m,113.109,STANDING,SITTING,pose_switch
sitting_3m,198.109,STANDING,SITTING,pose_switch
sitting_3m,211.469,SITTING,STANDING,pose_switch
sitting_3m,217.469,STANDING,SITTING,pose_switch
sitting_3m,218.75,SITTING,STANDING,pose_switch
sitting_3m,221.859,STANDING,SITTING,pose_switch
sitting_3m,227.297,SITTING,STANDING,pose_switch
sitting_3m,231.844,STANDING,SITTING,pose_switch
sitting_3m,234.031,SITTING,STANDING,pose_switch
sitting_3m,235.687,STANDING,SITTING,pose_switch
sitting_3m,236.469,SITTING,STANDING,pose_switch
sitting_3m,237.594,STANDING,SITTING,pose_switch
sitting_3m,238.75,SITTING,STANDING,pose_switch
sitting_3m,238.969,STANDING,MOVING,pose_switch
sitting_3m,239.484,MOVING,SITTING,pose_switch
sitting_3m,247.594,SITTING,STANDING,pose_switch
sitting_3m,259.719,STANDING,UNKNOWN,pose_switch
sitting_3m,260.344,UNKNOWN,SITTING,pose_switch
sitting_3m,264.859,SITTING,MOVING,pose_switch
sitting_3m,265.719,MOVING,SITTING,pose_switch
sitting_4m,303.265,STANDING,MOVING,pose_switch
sitting_4m,303.797,MOVING,SITTING,pose_switch
sitting_4m,308.484,SITTING,UNKNOWN,pose_switch
sitting_4m,308.969,UNKNOWN,SITTING,pose_switch
