segment_id,expected_pose,expected_distance_m,expected_person_count,frames_total,frames_with_any_target,frames_with_primary_target,tracking_presence_rate,dropout_frames,dropout_rate,longest_dropout_s,mean_range_m,median_range_m,std_range_m,mae_range_m,rmse_range_m,bias_m,p50_abs_error_m,p90_abs_error_m,p95_abs_error_m,std_x_m,std_y_m,std_z_m,range_jitter_p95_m,xy_jitter_m,unique_tids,primary_tid,tid_switch_count,tid_switch_rate_per_min,mean_tid_lifetime_s,fragmentation_count,mean_active_tracks,max_active_tracks,frames_with_extra_tracks,extra_track_rate,ghost_track_count,ghost_frames,ghost_duration_s,ghost_nearest_distance_to_primary_m,presence_component,range_component,ghost_component,id_switch_component,dropout_component,jitter_component,tracking_score
standing_1m,STANDING,1.0,1,967,967,967,1.0,0,0.0,0.0,0.9782577897088794,0.9784367538458902,0.016886508935566855,0.02314756384259574,0.027524225819666265,-0.021742210291120608,0.02177162362521845,0.04636622769825937,0.05210328882176923,0.016095130901881395,0.01687015822681274,0.062260640562336426,0.032372288411653544,0.01999998676277035,1,1,0,0.0,53.156,0,1.0,1.0,0,0.0,0,0,NA,NA,1.0,0.9768524361574042,1.0,1.0,1.0,0.935255423176693,99.09758801981857
standing_2m,STANDING,2.0,1,1095,1095,1095,1.0,0,0.0,0.0,1.9236924260787025,1.9179197387216733,0.02148122345393719,0.07643111489024264,0.07927084829705935,-0.07630757392129757,0.08208026127832668,0.09789764037568305,0.10583211296065187,0.06042704322790158,0.021586587983132236,0.08541457421147858,0.05609427649771787,0.047561224975593334,1,1,0,0.0,60.172,0,1.0,1.0,0,0.0,0,0,NA,NA,1.0,0.9235688851097573,1.0,1.0,1.0,0.8878114470045643,97.52827936276675
standing_3m,STANDING,3.0,1,1143,1143,1143,1.0,0,0.0,0.0,2.9183679558931876,2.9205920062867716,0.01945467479126767,0.08163204410681212,0.08391629081326957,-0.08163204410681212,0.07940799371322838,0.1043030969792177,0.1108084896961158,0.05655310935683349,0.019022877443543387,0.04190147691228311,0.031400495982887425,0.04906775052820055,1,1,0,0.0,62.84299999999999,0,1.0,1.0,0,0.0,0,0,NA,NA,1.0,0.9183679558931879,1.0,1.0,1.0,0.9371990080342252,97.64519393750082
standing_4m,STANDING,4.0,1,490,490,490,1.0,0,0.0,0.0,3.8466526415861746,3.847535682747288,0.0027087096541434726,0.1533473584138242,0.15337123089679672,-0.1533473584138242,0.1524643172527118,0.1542267129842294,0.16146409764309944,0.003391937533311116,0.0026738171734768793,0.005451413576834954,0.008999780390387624,0.0025590074212584156,1,1,0,0.0,26.859999999999985,0,1.0,1.0,0,0.0,0,0,NA,NA,1.0,0.8466526415861758,1.0,1.0,1.0,0.9820004392192248,96.07631823575052
standing_5m,STANDING,5.0,1,1132,1132,1132,1.0,0,0.0,0.0,4.99186254168258,4.984243964244085,0.018304819409337116,0.0195058180130972,0.020024700906909297,-0.008137458317420392,0.020430583246143996,0.024349959455912007,0.024349959455912007,0.06343445265945336,0.019498809373618864,0.057555443678910925,0.03618661900205922,0.05978640842193819,1,2,0,0.0,62.20300000000003,0,1.0,1.0,0,0.0,0,0,NA,NA,1.0,0.9804941819869027,1.0,1.0,1.0,0.9276267619958816,99.15048835965197
leanback_1m,SITTING,1.0,1,508,508,508,1.0,0,0.0,0.0,1.084369807149893,1.0789492841110724,0.02423414725712158,0.08436980714989298,0.08777472393262702,0.08436980714989298,0.07894928411107238,0.12804382742300757,0.13088809176297822,0.006015161398281932,0.024185033887454622,0.026270863265655923,0.05193880765190584,0.020791496479156374,1,4,0,0.0,27.952999999999975,0,1.0,1.0,0,0.0,0,0,NA,NA,1.0,0.915630192850107,1.0,1.0,1.0,0.8961223846961883,97.3713667447336
leanback_2m,SITTING,2.0,1,471,471,471,1.0,0,0.0,0.0,2.1575702145729947,2.1601556601062306,0.011257479481689809,0.1575702145729947,0.15797099194868125,0.1575702145729947,0.1601556601062306,0.1601556601062306,0.1601556601062306,0.02440238880568034,0.01100105579322892,0.03107134513248153,0.02126563531018877,0.011545355608513032,1,4,0,0.0,25.82800000000003,0,1.0,1.0,0,0.0,0,0,NA,NA,1.0,0.8424297854270053,1.0,1.0,1.0,0.9574687293796225,95.84808828257324
leanback_3m,SITTING,3.0,1,518,518,518,1.0,0,0.0,0.0,2.977715177520881,2.959434790241582,0.04646034861333733,0.04789129559056366,0.05148796164388842,-0.022284822479118255,0.04056520975841815,0.09116657150894314,0.0968714547458207,0.03174777316452396,0.04693590865544698,0.07323254975030886,0.13743666450423886,0.03956326961580806,1,6,0,0.0,28.40599999999995,0,1.0,1.0,0,0.0,0,0,NA,NA,1.0,0.9521087044094363,1.0,1.0,1.0,0.7251266709915223,97.42835096519352
leanback_4m,SITTING,4.0,1,670,670,670,1.0,0,0.0,0.0,4.07432850010653,4.0662497133436055,0.017810578490510785,0.07432850010652879,0.07642950462015632,0.07432850010652879,0.06624971334360552,0.10556986667396284,0.12528547143591773,0.014671749464215875,0.017158439725719676,0.04118617672394184,0.05903575809231221,0.016381640643896776,1,8,0,0.0,36.764999999999986,0,1.0,1.0,0,0.0,0,0,NA,NA,1.0,0.9256714998934712,1.0,1.0,1.0,0.8819284838153756,97.55142991641365
leanback_5m,SITTING,5.0,1,622,622,622,1.0,0,0.0,0.0,4.694389446652838,4.696029988141103,0.002412357695409081,0.30561055334716225,0.305620058946969,-0.30561055334716225,0.3039700118588966,0.3091509392646312,0.3091509392646312,0.006848450377851098,0.0023632035483283406,0.006345005561281944,0.005180927405734614,0.006734722298080828,1,9,0,0.0,34.125,0,1.0,1.0,0,0.0,0,0,NA,NA,1.0,0.6943894466528377,1.0,1.0,1.0,0.9896381451885308,92.3079268922636
upright_1m,SITTING,1.0,1,1197,1197,1197,1.0,0,0.0,0.0,0.9450988538378712,0.9503705929027874,0.0269607055092806,0.05602169940888294,0.061158877036053085,-0.05490114616212895,0.04962940709721264,0.08853847466633546,0.08853847466633546,0.021493951702046918,0.026723499570901255,0.0774590640062645,0.04307155275631716,0.030588646959077936,1,10,0,0.0,65.75,0,1.0,1.0,0,0.0,0,0,NA,NA,1.0,0.9439783005911171,1.0,1.0,1.0,0.9138568944873657,98.16874198721476
upright_2m,SITTING,2.0,1,1171,1171,1171,1.0,0,0.0,0.0,1.9327396036607214,1.9307430673451598,0.011518777795926013,0.0672603963392785,0.06823877087731421,-0.0672603963392785,0.06925693265484023,0.07421906694630676,0.07553873785379317,0.0319591900657747,0.011353194673654303,0.049757621475889906,0.03143185053821518,0.02941186074118551,1,10,0,0.0,64.32799999999997,0,1.0,1.0,0,0.0,0,0,NA,NA,1.0,0.9327396036607215,1.0,1.0,1.0,0.9371362989235696,98.0041715861359
upright_3m,SITTING,3.0,1,1166,1166,1166,1.0,0,0.0,0.0,2.8932014898228595,2.9003485142697794,0.024788110943908245,0.10679851017714041,0.10963505482867962,-0.10679851017714041,0.09965148573022065,0.1433851413325109,0.1433851413325109,0.016312876937537007,0.024734963116564694,0.054417654120078505,0.0457435561638081,0.02404828476848187,1,10,0,0.0,64.07900000000006,0,1.0,1.0,0,0.0,0,0,NA,NA,1.0,0.8932014898228596,1.0,1.0,1.0,0.9085128876723838,96.87260168393341
upright_4m,SITTING,4.0,1,475,475,475,1.0,0,0.0,0.0,3.8672286869367887,3.8649600428772715,0.011020642963899159,0.1327713130632115,0.13322695091471792,-0.1327713130632115,0.13503995712272854,0.13503995712272854,0.13558136234904827,0.0018587328648405764,0.011099216040055242,0.023867495600147615,0.002491720132554054,0.004592121473822445,1,10,0,0.0,26.047000000000025,0,1.0,1.0,0,0.0,0,0,NA,NA,1.0,0.8672286869367885,1.0,1.0,1.0,0.9950165597348919,96.65579997209417
upright_5m,SITTING,5.0,1,908,906,906,0.9977973568281938,2,0.0022026431718061845,0.047000000000025466,0.777196298116447,0.7249829044998918,0.30229292446810296,4.222803701883554,4.233597908963552,-4.222803701883554,4.275017095500108,4.377334676921936,4.377437720425513,0.03868653928502825,0.3022092959223304,0.1448831931029736,0.3951082924239234,0.15034823502808844,1,11,0,0.0,49.812000000000126,0,1.0,1.0,0,0.0,0,0,NA,NA,0.9977973568281938,0.0,1.0,1.0,0.9977973568281938,0.20978341515215315,70.94979813302949
leanforward_1m,SITTING,1.0,1,474,474,474,1.0,0,0.0,0.0,0.6146231748167457,0.6172235202904185,0.035245555734711734,0.3853768251832544,0.386981815862803,-0.3853768251832544,0.3827764797095815,0.40049766029990186,0.40049766029990186,0.012739557937889223,0.03523136814906765,0.09292882869719757,0.01772118059032035,0.015324323944722506,1,11,0,0.0,26.061999999999898,0,1.0,1.0,0,0.0,0,0,NA,NA,1.0,0.6146231748167457,1.0,1.0,1.0,0.9645576388193593,90.18836756451545
leanforward_2m,SITTING,2.0,1,701,701,701,1.0,0,0.0,0.0,1.5843197508160958,1.5687346213715023,0.04660218717880509,0.4156802491839042,0.4182806896301861,-0.4156802491839042,0.4312653786284977,0.4312653786284977,0.4312653786284977,0.010785452307181698,0.04668765937621283,0.05927354651781241,0.06040453423751302,0.022578640097143114,1,11,0,0.0,38.5,0,1.0,1.0,0,0.0,0,0,NA,NA,1.0,0.5843197508160958,1.0,1.0,1.0,0.879190931524974,89.00394842802727
leanforward_3m,SITTING,3.0,1,840,840,840,1.0,0,0.0,0.0,2.536410303629695,2.517007003101198,0.03191868378651574,0.4635896963703055,0.4646859112297313,-0.4635896963703055,0.48299299689880204,0.48299299689880204,0.48299299689880204,0.02150655650281478,0.03101345033182409,0.03224759890378628,0.07851456159553427,0.025715457623075057,1,12,0,0.0,46.125,0,1.0,1.0,0,0.0,0,0,NA,NA,1.0,0.5364103036296946,1.0,1.0,1.0,0.8429708768089315,87.62511197478702
leanforward_4m,SITTING,4.0,1,521,519,519,0.9961612284069098,2,0.0038387715930902067,0.07799999999997453,3.5206349914191426,3.517166385257593,0.026237434091069357,0.47936500858085856,0.4800811264742793,-0.47936500858085856,0.48283361474240705,0.48283361474240705,0.48283361474240705,0.01074985962268064,0.02602758224142758,0.011879648566713932,0.0,0.007818552050486897,1,13,0,0.0,28.483999999999924,0,1.0,1.0,0,0.0,0,0,NA,NA,0.9961612284069098,0.5206349914191415,1.0,1.0,0.9961612284069098,1.0,87.84313006378949
leanforward_5m,SITTING,5.0,1,436,436,436,1.0,0,0.0,0.0,4.606923703827821,4.605112438197289,0.01182762136770333,0.39307629617217876,0.3932537938596481,-0.39307629617217876,0.3948875618027108,0.3948875618027108,0.3948875618027108,0.005249505424645279,0.01187000011280476,0.004326204335541617,0.0,0.0036892254393990757,1,14,0,0.0,23.8900000000001,0,1.0,1.0,0,0.0,0,0,NA,NA,1.0,0.6069237038278212,1.0,1.0,1.0,1.0,90.17309259569552
